Date,Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
12/14/2018,00:00.0,66.14,149.55,-57.01,33.52
12/14/2018,01:00.0,66.14,149.44,-56.95,33.63
12/14/2018,02:00.0,66.14,150.02,-57.29,33.05
12/14/2018,03:00.0,66.14,150.08,-57.33,32.98
12/14/2018,04:00.0,66.14,149.79,-57.16,33.28
12/14/2018,05:00.0,66.14,149.2,-56.81,33.86
12/14/2018,06:00.0,66.14,149.09,-56.74,33.98
12/14/2018,07:00.0,66.14,148.99,-56.69,34.07
12/14/2018,08:00.0,66.14,149.23,-56.83,33.84
12/14/2018,09:00.0,66.14,149.3,-56.87,33.77
12/14/2018,10:00.0,66.14,149.33,-56.89,33.74
12/14/2018,11:00.0,66.14,149.28,-56.86,33.79
12/14/2018,12:00.0,66.14,149.37,-56.91,33.69
12/14/2018,13:00.0,66.14,149.59,-57.04,33.48
12/14/2018,14:00.0,66.14,149.56,-57.02,33.5
12/14/2018,15:00.0,66.14,149.29,-56.86,33.78
12/14/2018,16:00.0,66.14,149.22,-56.82,33.85
12/14/2018,17:00.0,66.14,148.79,-56.57,34.27
12/14/2018,18:00.0,66.14,148.98,-56.68,34.08
12/14/2018,19:00.0,66.14,148.84,-56.59,34.23
12/14/2018,20:00.0,66.14,149.18,-56.8,33.88
12/14/2018,21:00.0,66.14,148.51,-56.4,34.55
12/14/2018,22:00.0,66.14,148.98,-56.68,34.08
12/14/2018,23:00.0,66.14,149.22,-56.82,33.84
12/14/2018,24:00.0,66.14,148.89,-56.62,34.18
12/14/2018,25:00.0,66.14,149.3,-56.87,33.77
12/14/2018,26:00.0,66.14,148.98,-56.68,34.08
12/14/2018,27:00.0,66.14,149.1,-56.75,33.97
12/14/2018,28:00.0,66.14,148.98,-56.68,34.08
12/14/2018,29:00.0,66.14,149.13,-56.77,33.94
12/14/2018,30:00.0,66.14,148.54,-56.42,34.51
12/14/2018,31:00.0,66.14,148.82,-56.59,34.24
12/14/2018,32:00.0,66.14,148.81,-56.58,34.25
12/14/2018,33:00.0,66.14,148.97,-56.67,34.09
